seed,offset,N,steps,families,parity_even,parity_odd,n_edges,density,components,degree_mean,degree_sd,strength_mean,strength_sd,edge_weight_min,edge_weight_max,edge_weight_mean,edge_weight_cv,global_clustering,A_assort_unweighted,V_assort_unweighted,A_assort_weighted,V_assort_weighted,mean_abs_dA,mean_abs_dV,weighted_abs_dA,weighted_abs_dV,M_DY_minus_D_rA,M_DY_minus_D_rV
101,3,4000,12000,1000,6065,5935,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5935.0,6065.0,6000.0,0.0108333333333,0.0,0.0146620786429,-0.0150794898488,0.014615397873,-0.0150980512634,0.222114054383,0.187428153205,0.222102585692,0.187439995022,0.06570500000000001,0.025946999999999998
202,3,4000,12000,1000,6013,5987,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5987.0,6013.0,6000.0,0.00216666666667,0.0,0.00957364583241,-0.0109790522229,0.0096073014112,-0.0109754382653,0.219927511538,0.189999813337,0.21992472131,0.189999663634,-0.207357,-0.138372
303,3,4000,12000,1000,6065,5935,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5935.0,6065.0,6000.0,0.0108333333333,0.0,0.00987391997073,-0.0214979166429,0.00978569505145,-0.0217921812853,0.220840198836,0.193501085474,0.220855177855,0.193526033228,-0.166808,-0.14544699999999997
404,3,4000,12000,1000,6080,5920,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5920.0,6080.0,6000.0,0.0133333333333,0.0,-0.00352011965789,-0.00620543528069,-0.00338867555081,-0.00595426555014,0.221327846248,0.187447819156,0.221315405968,0.187434105432,-0.21922600000000003,-0.09657400000000005
505,3,4000,12000,1000,5939,6061,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5939.0,6061.0,6000.0,0.0101666666667,0.0,-0.0210797858967,-0.0472816162997,-0.0211037768099,-0.0470440692577,0.226216044785,0.193344744113,0.226222216996,0.193326894798,-0.16824499999999998,-0.10108499999999998
606,3,4000,12000,1000,6048,5952,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5952.0,6048.0,6000.0,0.008,0.0,0.0119392805798,-0.0205195073818,0.0117434883733,-0.0205552905797,0.219615623221,0.187830318073,0.219636638896,0.187835657305,0.032976000000000005,0.010465000000000002
707,3,4000,12000,1000,5886,6114,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5886.0,6114.0,6000.0,0.019,0.0,0.00456032521627,-0.0143690342687,0.00445245326606,-0.0137508966716,0.216784893209,0.192915476836,0.216837905619,0.192833047882,-0.03363800000000006,-0.027700000000000002
808,3,4000,12000,1000,5973,6027,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5973.0,6027.0,6000.0,0.0045,0.0,0.00461659374721,-0.0132317878148,0.00458094972942,-0.0132143986013,0.218842808289,0.190128537738,0.218850108361,0.190120834648,0.314237,0.2088232
909,3,4000,12000,1000,5981,6019,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5981.0,6019.0,6000.0,0.00316666666667,0.0,-0.012455964683,-0.00111467844541,-0.0124067348,-0.00109079216036,0.226581223634,0.186211263152,0.226571073857,0.186211513594,-0.009160999999999975,-0.017422999999999966
1010,3,4000,12000,1000,5947,6053,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5947.0,6053.0,6000.0,0.00883333333333,0.0,0.0202556555831,-0.0113754883479,0.0200157463855,-0.0112913626647,0.215972012073,0.189526631031,0.21599713463,0.189520974984,-0.20231500000000002,-0.11572300000000002
1111,3,4000,12000,1000,5989,6011,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5989.0,6011.0,6000.0,0.00183333333333,0.0,0.0116908678502,0.0383403719655,0.0117278205333,0.0383122082517,0.22270700345,0.18731620848,0.222702161918,0.187319074787,0.10625300000000004,0.04886900000000005
1212,3,4000,12000,1000,5936,6064,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5936.0,6064.0,6000.0,0.0106666666667,0.0,-0.0298897073765,0.00765193795313,-0.0300672453334,0.00802142424124,0.226745968751,0.183909149227,0.226781165414,0.183874236534,-0.22422600000000004,-0.145534
101,4,4000,12000,1000,6065,5935,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5935.0,6065.0,6000.0,0.0108333333333,0.0,-0.0055773800899,-0.019514839408,-0.00557497151906,-0.019337584907,0.224166418244,0.188165789398,0.224155991289,0.188151814982,0.046568000000000054,0.013673999999999964
202,4,4000,12000,1000,6013,5987,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5987.0,6013.0,6000.0,0.00216666666667,0.0,-0.0150914374368,0.0278508916265,-0.0151449355538,0.0278663519061,0.224275458461,0.185228767986,0.224279645102,0.185229468323,-0.208061,-0.148941
303,4,4000,12000,1000,6065,5935,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5935.0,6065.0,6000.0,0.0108333333333,0.0,-0.000808163223892,-0.00294864418983,-0.000804140097874,-0.00303299142832,0.2206326809,0.191403037187,0.220627537034,0.191426229874,-0.17156000000000002,-0.11898399999999998
404,4,4000,12000,1000,6080,5920,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5920.0,6080.0,6000.0,0.0133333333333,0.0,-0.000563986175691,0.0175105320764,-0.000491227220594,0.0173645864419,0.221611532997,0.183819963267,0.221603129344,0.183830071742,-0.22385699999999997,-0.102819
505,4,4000,12000,1000,5939,6061,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5939.0,6061.0,6000.0,0.0101666666667,0.0,-0.00871020340814,-0.0291347254013,-0.00863763876479,-0.0292388035033,0.224289761202,0.192880840742,0.224268553631,0.192875651434,-0.16739500000000002,-0.10063
606,4,4000,12000,1000,6048,5952,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5952.0,6048.0,6000.0,0.008,0.0,-0.00851717449433,-0.0281997907595,-0.00863176778496,-0.0282640834127,0.221783993706,0.188394115373,0.221802987045,0.188398821691,0.025797999999999988,0.005367000000000011
707,4,4000,12000,1000,5886,6114,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5886.0,6114.0,6000.0,0.019,0.0,-0.00511104054122,0.00793666908975,-0.004903260954,0.00784402021299,0.218808528104,0.189863794903,0.21878780048,0.189871858754,-0.038416000000000006,-0.053227000000000024
808,4,4000,12000,1000,5973,6027,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5973.0,6027.0,6000.0,0.0045,0.0,0.0237512495556,0.00608795742435,0.0238220814055,0.00595783617142,0.216725476818,0.185584548222,0.216716259346,0.18559477646,0.3209455,0.2163619
909,4,4000,12000,1000,5981,6019,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5981.0,6019.0,6000.0,0.00316666666667,0.0,0.045760276082,-0.00521234734702,0.0458000024074,-0.00521976775561,0.220584966728,0.186673705007,0.220578439227,0.186671581991,-0.00545299999999993,-0.027305999999999997
1010,4,4000,12000,1000,5947,6053,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5947.0,6053.0,6000.0,0.00883333333333,0.0,0.00661623679406,-0.0227268099611,0.00659856453677,-0.0225311057232,0.216962782507,0.189360477288,0.216972975206,0.189345225711,-0.196226,-0.09951500000000002
1111,4,4000,12000,1000,5989,6011,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5989.0,6011.0,6000.0,0.00183333333333,0.0,-0.00648683794389,-0.00484750190755,-0.00644524021705,-0.00479703979354,0.22468320459,0.190708806335,0.224679133382,0.190705042257,0.541466,0.363498
1212,4,4000,12000,1000,5936,6064,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5936.0,6064.0,6000.0,0.0106666666667,0.0,-0.0111353693604,-0.00149776160101,-0.0113891047167,-0.00149276239286,0.22409179194,0.185202202627,0.224101257608,0.185207078109,-0.223313,-0.14873099999999997
101,5,4000,12000,1000,6065,5935,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5935.0,6065.0,6000.0,0.0108333333333,0.0,-0.00406162782704,0.00633227721837,-0.00411100370727,0.00628573323167,0.223832858369,0.187805236575,0.223829849969,0.187817166716,0.05933100000000002,0.021056999999999992
202,5,4000,12000,1000,6013,5987,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5987.0,6013.0,6000.0,0.00216666666667,0.0,0.0151176064901,0.00850335242098,0.0151440486118,0.0085253714199,0.220376270544,0.187987335575,0.220372409497,0.187982107581,-0.20595199999999997,-0.14007200000000003
303,5,4000,12000,1000,6065,5935,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5935.0,6065.0,6000.0,0.0108333333333,0.0,0.00147793451421,-0.00227261122857,0.00120070650764,-0.00241675842622,0.221341106111,0.190648490957,0.221361663253,0.190671160805,-0.16559800000000002,-0.106956
