seed,mixing,interaction,rA,rV,rate,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,mutual_elev_post,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv,pair_digest
2828,random,dyadic,0.448422,0.346133,0.369952,0.998488,0.735844,0.998527,0.73555,0.00950675,0.00949017,0.000253167,0.0012575,0.00499158,0.249988,0.0007575,0.950271,0.00336133,3998001521368178311
2929,random,dyadic,0.593629,0.396016,0.396427,0.99872,0.7461,0.998753,0.74586,0.00888121,0.00886521,0.000252042,0.00124425,0.00497775,0.249956,0.000745042,0.950321,0.00340417,9683457375107194807
3030,random,dyadic,0.0374459,0.049602,0.235611,0.999242,0.754561,0.999262,0.754261,0.00508908,0.00507267,0.000248833,0.00125204,0.00497058,0.250121,0.000749208,0.95019,0.00335352,10071646235806721820
3131,random,dyadic,0.358878,0.245391,0.1905,0.998954,0.724919,0.998981,0.724614,0.00647492,0.00646488,0.000247417,0.00125225,0.00498942,0.249935,0.000758292,0.950373,0.00332064,9229365724962856925
3232,random,dyadic,0.0421102,0.0578344,0.311946,0.998525,0.708772,0.998562,0.708589,0.0115363,0.011521,0.000251708,0.00125296,0.00499787,0.250034,0.000746583,0.950273,0.00329553,13671435268397155858
3333,random,dyadic,0.0463864,0.0443777,0.389486,0.998505,0.719142,0.998543,0.718947,0.0111841,0.0111644,0.000246833,0.001239,0.00495612,0.250026,0.000753125,0.950163,0.00329179,2059749156295377661
3434,random,dyadic,0.0420378,0.0511468,0.279048,0.999109,0.7752,0.999133,0.774913,0.005126,0.00510946,0.000251875,0.00124408,0.004983,0.25001,0.000757917,0.950222,0.00331875,7553414289207416667
3535,random,dyadic,0.0412762,0.064777,0.380582,0.998956,0.541828,0.998982,0.541662,0.00977108,0.00976717,0.0002545,0.00126125,0.00500029,0.249993,0.00074875,0.950255,0.00332038,14471077341508696832
3636,random,dyadic,0.0638601,0.07284,0.33132,0.998442,0.666064,0.998481,0.665809,0.0116245,0.0116099,0.000249958,0.00124887,0.00496383,0.250071,0.000752333,0.950306,0.00322367,16185903053348071721
3737,random,dyadic,0.056151,0.0513392,0.448922,0.998668,0.744169,0.998702,0.7439,0.0106931,0.0106694,0.000255667,0.00125208,0.00498858,0.249952,0.000752708,0.950208,0.00333785,5416711868088930675
3838,random,dyadic,0.371016,0.235895,0.24049,0.998889,0.789463,0.998918,0.78919,0.00382375,0.00381975,0.000253625,0.00126267,0.00500525,0.249944,0.00074975,0.95027,0.00330297,3366072728673555250
3939,random,dyadic,0.103938,0.0903448,0.27468,0.998823,0.774788,0.998853,0.774467,0.00429537,0.00428229,0.000241583,0.00123354,0.004962,0.250013,0.000746292,0.950344,0.00322129,13885551371623210596
4040,random,dyadic,0.183021,0.130717,0.260691,0.998649,0.743307,0.998684,0.743058,0.00605679,0.00604675,0.000251083,0.00124275,0.00496796,0.249927,0.000747583,0.950167,0.00328869,13341758029431325002
4141,random,dyadic,0.102775,0.107178,0.258874,0.998788,0.723401,0.99882,0.723061,0.0067215,0.00669529,0.000248958,0.0012475,0.00499296,0.250004,0.000749583,0.950259,0.00331114,10471921851167804589
