seed,mixing,condition,recipient_rule,partner_signal_scale,alpha_scale,rA,rV,rate,pair_x_corr_post,pair_q_corr_post,repeat1,repeat5,repeat20,pair_digest
4747,random,Y,both_update,1,1,0.0545293,0.0440417,0.108777,0.999528,0.662679,0.000249583,0.00124908,0.00497679,2806913601698330356
4848,random,Y,both_update,1,1,0.0743536,0.0656695,0.283505,0.999255,0.724313,0.000254417,0.00124862,0.00500308,13041343288079651521
4949,random,Y,both_update,1,1,0.507492,0.34849,0.215292,0.999737,0.797067,0.000252458,0.00124471,0.00498117,15688078512293176947
5050,random,Y,both_update,1,1,0.0514179,0.0428212,0.084079,0.999505,0.78192,0.000248208,0.00125821,0.00498308,14347374636339464340
5151,random,Y,both_update,1,1,0.423091,0.288521,0.380331,0.999109,0.73631,0.000253875,0.00125487,0.00499342,9535685278167279799
5252,random,Y,both_update,1,1,0.406198,0.286277,0.440285,0.99828,0.766052,0.000248292,0.00125129,0.00498538,8498188523165093839
5353,random,Y,both_update,1,1,0.0620319,0.0749517,0.368848,0.998772,0.692226,0.000249958,0.0012565,0.00500179,11689919448206570347
5454,random,Y,both_update,1,1,0.525105,0.381667,0.211036,0.999274,0.746004,0.00025275,0.00125058,0.00499987,7295714592094838707
5555,random,Y,both_update,1,1,0.296748,0.242183,0.524382,0.998418,0.574306,0.000253,0.00125254,0.00499367,5149605271688457828
5656,random,Y,both_update,1,1,0.056062,0.0670811,0.20357,0.999138,0.766047,0.000246875,0.00124867,0.00499063,11541920501219194692
101,random,D_SWAP,swapped_one_sided,1,1,0.597771,0.422371,0.462031,0.997431,0.709793,0.000248625,0.00124913,0.00499417,15088318594308599739
202,random,D_SWAP,swapped_one_sided,1,1,0.620094,0.405666,0.117247,0.997992,0.681439,0.000250833,0.00126142,0.00499192,4914822966185049061
303,random,D_SWAP,swapped_one_sided,1,1,0.349183,0.270795,0.460642,0.995957,0.717532,0.000257583,0.00126867,0.00502758,4592148954548078428
404,random,D_SWAP,swapped_one_sided,1,1,0.612465,0.400748,0.293393,0.997447,0.748165,0.000247542,0.00124592,0.00498521,3352798620045422019
505,random,D_SWAP,swapped_one_sided,1,1,0.615226,0.412267,0.327432,0.997938,0.689215,0.000246333,0.00124783,0.00497167,4759851087943297059
606,random,D_SWAP,swapped_one_sided,1,1,0.557565,0.384191,0.276473,0.996766,0.710773,0.0002495,0.00124904,0.00497325,7977712089098221410
707,random,D_SWAP,swapped_one_sided,1,1,0.59763,0.410796,0.378794,0.996625,0.743673,0.000248833,0.001248,0.00500317,6626978477444108832
808,random,D_SWAP,swapped_one_sided,1,1,0.0487998,0.0526848,0.218451,0.996852,0.713994,0.000251708,0.00125446,0.00498113,8938853467923338380
909,random,D_SWAP,swapped_one_sided,1,1,0.635555,0.466275,0.454427,0.996523,0.73165,0.00025125,0.00124963,0.00497279,7523379821232620433
1010,random,D_SWAP,swapped_one_sided,1,1,0.594011,0.395074,0.256191,0.997465,0.747584,0.000251833,0.00126433,0.00500558,6095443981521357002
1111,random,D_SWAP,swapped_one_sided,1,1,0.148626,0.147122,0.238559,0.997523,0.214468,0.000253125,0.00124558,0.00496425,1709130890311390258
1212,random,D_SWAP,swapped_one_sided,1,1,0.458554,0.320647,0.329622,0.997611,0.67713,0.000256833,0.00125908,0.00497112,6566218846149515846
1313,random,D_SWAP,swapped_one_sided,1,1,0.0895838,0.0831547,0.167486,0.997653,0.715144,0.000244917,0.00123146,0.00496754,5265459889430765273
